Word,Category,Definition,Definition,Definition,Definition,Definition,Definition,Definition,Definition,ExampleW,ExampleD,ExampleW,ExampleD,ExampleW,ExampleD,QuoteW,QuoteD,QuoteS,QuoteW,QuoteD,QuoteS
abundant,adjective,"ламочисэ, сатышка",,,,,,,,,,,,,,,,,,,
abuse,noun,атевс нолдамо ,сёвнома ,нарьгамо,,,,,,,,,,,,,,,,,
abuse,verb,аволь видестэ нолдамс тевс ,сёвномс ,нарьгамс,,,,,,,,,,,,,,,,,
abusive,adjective,(language) пек амазы (кель) ,нарьгиця,,,,,,,,,,,,,,,,,,
academic,adjective,"академиянь, академиясо",,,,,,,,,,,,,,,,,,,
academy,noun,академия,,,,,,,,,,,,,,,,,,,
accelerate,verb,эрязкадомс ,эрязкавтомс,,,,,,,,,,,,,,,,,,
acceleration,noun,эрязкадома ,эрязкавтома,,,,,,,,,,,,,,,,,,
accelerator,noun,педал,,,,,,,,,,,,,,,,,,,
accent,noun,(language) ломань кортавкс ,(word валонь) вачкодькс,,,,,,,,,,,,,,,,,,
accept,verb,ловомс ёнкс ,саемс эсь юткс,,,,,,,,,,,,,,,,,,
acceptable,adjective,"сатышка вадря, ёнкс лововикс",,,,,,,,,,,,,,,,,,,
acceptance,noun,эсь юткс саема ,ёнкс ловома,,,,,,,,,,,,,,,,,,
access,noun,доступ,,,,,,,,,,,,,,,,,,,
accessible,adjective,доступной,,,,,,,,,,,,,,,,,,,
accessories,noun,кедьёнксонь запчасть ,оршамопелень запчасть,,,,,,,,,,,,,,,,,,
accessory,noun,преступникнень лездыця,,,,,,,,,,,,,,,,,,,
accident,noun,"зыян, авария ",апак учонь тев,,,,,,,,,,,,,,,,,,
accidental,adjective,апак учонь,,,,,,,,,,,,,,,,,,,
accidentally,adverb,апак учо,,,,,,,,,,,,,,,,,,,
accommodate,verb,максомс тарка ,максомс эрямс тарка,,,,,,,,,,,,,,,,,,
accommodation,noun,(акуватень) эрямо тарка,,,,,,,,,,,,,,,,,,,
accompaniment,noun,аккомпанимент,,,,,,,,,,,,,,,,,,,
accompany,verb,ильтемс ,седямс аккомпанемент ,ве шкастонть эрсемс,,,,,,,,,,,,,,,,,
accomplish,verb,??изнямс ??топавтомс,,,,,,,,,,,,,,,,,,,
accomplishment,noun,??изнявкс,,,,,,,,,,,,,,,,,,,
according  to,preposition,коряс,,,,,,,,,,,,,,,,,,,
accordingly,adverb,??тень коряс,,,,,,,,,,,,,,,,,,,
accordion,noun,гармония,,,,,,,,,,,,,,,,,,,
account,noun,(bank) счёт,,,,,,,,,,,,,,,,,,,
accountable,adjective,ответственной,,,,,,,,,,,,,,,,,,,
accountant,noun,бухгальтер,,,,,,,,,,,,,,,,,,,
accrue,verb,кастомс (процент),,,,,,,,,,,,,,,,,,,
accumulate,verb,пурнавомс ,пурнамс,,,,,,,,,,,,,,,,,,
accumulation,noun,пурнавома ,пурнамо,,,,,,,,,,,,,,,,,,
accuracy,noun,(ёртомань) норовчи ,(ёвтамонь) точначи,,,,,,,,,,,,,,,,,,
accurate,adjective,"норов, точна",,,,,,,,,,,,,,,,,,,
accusation,noun,чумондома,,,,,,,,,,,,,,,,,,,
accusative,noun,(grammar) аккузатив,,,,,,,,,,,,,,,,,,,
accuse,verb,чумондомс,,,,,,,,,,,,,,,,,,,
accused,noun,чумондозь ломань,,,,,,,,,,,,,,,,,,,
ace,noun,(card) туз,,,,,,,,,,,,,,,,,,,
ache,noun,сэредькс,,,,,,,,,,,,,,,,,,,
ache,verb,теемс сэредькс,,,,,,,,,,,,,,,,,,,
achieve,verb,изнямс,,,,,,,,,,,,,,,,,,,
achievement,noun,изнявкс,,,,,,,,,,,,,,,,,,,
acid,adjective,кислотань,,,,,,,,,,,,,,,,,,,
acid,noun,кислота,,,,,,,,,,,,,,,,,,,
acknowledge,verb,"видькстамс, пачтямс мезде-бути содамга, шнамосо ёвтамс (паро тевде)",,,,,,,,,,,,,,,,,,,
acknowledgement,noun,сюкпрянь ёвтамо,,,,,,,,,,,,,,,,,,,
acne,noun,суксприямо,,,,,,,,,,,,,,,,,,,
acorn,noun,сэря,,,,,,,,,,,,,,,,,,,
acquaint,verb,теемс содавиксэкс,,,,,,,,,,,,,,,,,,,
acquaintance,noun,(know) содавикс ломань,,,,,,,,,,,,,,,,,,,
acquire,verb,"пурнамс эстензэ (рамамс, саемс), тонадомс танстьс",,,,,,,,,,,,,,,,,,,
acquisition,noun,"пурнамо, рамавкс",,,,,,,,,,,,,,,,,,,
acquit,verb,а чумондомс,,,,,,,,,,,,,,,,,,,
acquittal,noun,ачумондома,,,,,,,,,,,,,,,,,,,
acrobat,noun,акробат,,,,,,,,,,,,,,,,,,,
acrobatics,noun,акробатика,,,,,,,,,,,,,,,,,,,
across,preposition,трокс ,каршо,,,,,,,,,,,,,,,,,,
act,noun,(action) тевтеема ,(play) акт; лисема,,,,,,,,,,,,,,,,,,
action,noun,"тевтеема, действия",,,,,,,,,,,,,,,,,,,
active,adjective,эрьва козонь кенериця,,,,,,,,,,,,,,,,,,,
activist,noun,активист,,,,,,,,,,,,,,,,,,,
activity,noun,тевтеема,,,,,,,,,,,,,,,,,,,
actor,noun,(сцена лангсо) (цёра) налксиця,,,,,,,,,,,,,,,,,,,
actress,noun,(сцена лангсо) (ава) налксиця,,,,,,,,,,,,,,,,,,,
actual,adjective,алкуксонь,,,,,,,,,,,,,,,,,,,
actually,adverb,алкукскак,,,,,,,,,,,,,,,,,,,
acupuncture,noun,акупунктура,,,,,,,,,,,,,,,,,,,
acute,adjective,пшти (hearing пилемарямо) ,виев (illness сэредема) ,покш (problems проблемат),,,,,,,,,,,,,,,,,
adamant,adjective,(валдонзо) апотыця,,,,,,,,,,,,,,,,,,,
adapt,verb,"ладямс, витнемс (од тевс)",,,,,,,,,,,,,,,,,,,
adaptable,adjective,ладявикс,,,,,,,,,,,,,,,,,,,
adapter,noun,адаптор,,,,,,,,,,,,,,,,,,,
add,verb,"путомс вейс, поладомс",,,,,,,,,,,,,,,,,,,
addict,noun,наркоман,,,,,,,,,,,,,,,,,,,
addiction,noun,наркомания,,,,,,,,,,,,,,,,,,,
addition,noun,(math) вейспутома,,,,,,,,,,,,,,,,,,,
additional,adjective,"поладовиця, поладкс",,,,,,,,,,,,,,,,,,,
additive,noun,добавка,,,,,,,,,,,,,,,,,,,
address,noun,(place) адрес ,(speech) (ломань икеле) кортамо,,,,,,,,,,,,,,,,,,
address,verb,"(people) кортамс, пшкадемс (киненьгак) ",(place) путомс адрес (сёрма лангс),,,,,,,,,,,,,,,,,,
adequate,adjective,сатышка,,,,,,,,,,,,,,,,,,,
adhere,verb,(tape) педявомс (to something мезескак) ,(doctrine) саемс мельс (to ),,,,,,,,,,,,,,,,,,
adherence,noun,мельс саема,,,,,,,,,,,,,,,,,,,
adhesive,adjective,педиця,,,,,,,,,,,,,,,,,,,
adjacent,adjective,каршо,,,,,,,,,,,,,,,,,,,
adjective,noun,"лемтюс, прилогательной",,,,,,,,,,,,,,,,,,,
adjourn,verb,"шаштомс (шкань коряс), прядомс (промкс) ",молемс (лия таркав),,,,,,,,,,,,,,,,,,
adjust,verb,"ладямс, витемс",,,,,,,,,,,,,,,,,,,
adjustable,adjective,ладявикс,,,,,,,,,,,,,,,,,,,
adjustment,noun,ладямо,,,,,,,,,,,,,,,,,,,
administer,verb,ветямс (тевсэ) ,(inoculation) путомс (укол),,,,,,,,,,,,,,,,,,
administration,noun,"правительства, прявткуро",,,,,,,,,,,,,,,,,,,
administrator,noun,администратор,,,,,,,,,,,,,,,,,,,
admirable,adjective,мельспаро кандыця,,,,,,,,,,,,,,,,,,,
admiral,noun,адмирал,,,,,,,,,,,,,,,,,,,
admiration,noun,мельспаросо ванома,,,,,,,,,,,,,,,,,,,
admire,verb,мельспаросо ваномс (кие лангскак),,,,,,,,,,,,,,,,,,,
admissible,adjective,нолдавикс,,,,,,,,,,,,,,,,,,,
admission,noun,(confession) видькстамо ,(entrance) совамо питне,,,,,,,,,,,,,,,,,,
admit,verb,"(allow) нолдамс (потс), совавтомс ",(confess) видькстамс,,,,,,,,,,,,,,,,,,
admittance,noun,"(entry) потснолдамо, совавтома",,,,,,,,,,,,,,,,,,,
adolescence,noun,одкспинге,,,,,,,,,,,,,,,,,,,
adolescent,noun,од ломань,,,,,,,,,,,,,,,,,,,
adopt,verb,"эстензэ саемс, эстензэкс саемс",,,,,,,,,,,,,,,,,,,
adopted,adjective,саень (эйкакш),,,,,,,,,,,,,,,,,,,
adoption,noun,эйкакшонь саема,,,,,,,,,,,,,,,,,,,
adorable,adjective,"седеень саиця, седейэждиця",,,,,,,,,,,,,,,,,,,
adore,verb,вечкемс,,,,,,,,,,,,,,,,,,,
adorn,verb,мазылгавтомс,,,,,,,,,,,,,,,,,,,
adrift,adjective,"ведь мельга, варма мельга",,,,,,,,,,,,,,,,,,,
adult,adjective,покш,,,,,,,,,,,,,,,,,,,
adult,noun,"покш (ломань, ракша, аволь левкс)",,,,,,,,,,,,,,,,,,,
adultry,noun,уксурямо,,,,,,,,,,,,,,,,,,,
advance,verb,касомс (профессиясо) ,кастомс ,шаштомс икелев (частнэнь икелев); питневгадомс,,,,,,,,,,,,,,,,,
advanced,adjective,"икелевмолиця, касыця",,,,,,,,,,,,,,,,,,,
advancement,noun,чинс аравтома,,,,,,,,,,,,,,,,,,,
advantage,noun,лезэ,,,,,,,,,,,,,,,,,,,
advantageous,adjective,лезэв,,,,,,,,,,,,,,,,,,,
adventure,noun,авантюра,,,,,,,,,,,,,,,,,,,
adventurer,noun,авантюрист,,,,,,,,,,,,,,,,,,,
adverb,noun,наречия,,,,,,,,,,,,,,,,,,,
adversary,noun,"каршомолиця (эстеть), пельксты ялга",,,,,,,,,,,,,,,,,,,
adverse,adjective,аволь лезэв,,,,,,,,,,,,,,,,,,,
advertise,verb,теемс реклама,,,,,,,,,,,,,,,,,,,
advertisement,noun,реклама,,,,,,,,,,,,,,,,,,,
advertising,noun,рекламань теема,,,,,,,,,,,,,,,,,,,
advice,noun,превть,,,,,,,,,,,,,,,,,,,
advisable,adjective,??,,,,,,,,,,,,,,,,,,,
advise,verb,"максомс превть, путомс превс",,,,,,,,,,,,,,,,,,,
adviser,noun,превень максы,,,,,,,,,,,,,,,,,,,
advocate,verb,аштемс мезеньгак кисэ,,,,,,,,,,,,,,,,,,,
aerial,adjective,вердень,,,,,,,,,,,,,,,,,,,
aeroplane,noun,самолёт,,,,,,,,,,,,,,,,,,,
affair,noun,"(business) тевть, эсь тевть",,,,,,,,,,,,,,,,,,,
affect,verb,"??вииямс, токамс",,,,,,,,,,,,,,,,,,,
affected,adjective,токавозь,,,,,,,,,,,,,,,,,,,
affection,noun,вечкема,,,,,,,,,,,,,,,,,,,
affectionate,adjective,"вечкевикс, чевтеседей",,,,,,,,,,,,,,,,,,,
affidavit,noun,видечинь кемекстамо (конёв),,,,,,,,,,,,,,,,,,,
affinity,noun,мелень путома,,,,,,,,,,,,,,,,,,,
affirm,verb,кемекстамс,,,,,,,,,,,,,,,,,,,
affirmative,adjective,парс пачтиця,,,,,,,,,,,,,,,,,,,
affix,verb,педявтомс,,,,,,,,,,,,,,,,,,,
afflict,verb,майсевтемс,,,,,,,,,,,,,,,,,,,
affliction,noun,майсема,,,,,,,,,,,,,,,,,,,
affluence,noun,эриксчи,,,,,,,,,,,,,,,,,,,
affluent,adjective,"эрикс, уличив",,,,,,,,,,,,,,,,,,,
after,preposition,"мельга, кисэ",,,,,,,,,,,,,,,,,,,
after,adverb,мейле,,,,,,,,,,,,,,,,,,,
afternoon,noun,обедтэ мейле,,,,,,,,,,,,,,,,,,,
afterwards,adverb,"седе мейле, мейле",,,,,,,,,,,,,,,,,,,
again,adverb,"таго, одов",,,,,,,,,,,,,,,,,,,
against,preposition,каршо,,,,,,,,,,,,,,,,,,,
age,noun,шка (эйде) ,иеть (ломань) ,пинге (эпоха),,,,,,,,,,,,,,,,,
age,verb,сыредемс (ломанде) ,аштемс (винадо),,,,,,,,,,,,,,,,,,
agency,noun,агенства,,,,,,,,,,,,,,,,,,,
agenda,noun,чинь молемадо сёрмадкс,,,,,,,,,,,,,,,,,,,
agent,noun,агент,,,,,,,,,,,,,,,,,,,
aggravate,verb,азаргавтомс,,,,,,,,,,,,,,,,,,,
aggravating,adjective,азаргавтыця,,,,,,,,,,,,,,,,,,,
aggravation,noun,азаргавтома,,,,,,,,,,,,,,,,,,,
aggression,noun,"агрессия, каявома",,,,,,,,,,,,,,,,,,,
aggressive,adjective,"каявиця, агрессивной",,,,,,,,,,,,,,,,,,,
aggressor,noun,"каявиця, агрессор",,,,,,,,,,,,,,,,,,,
agitate,verb,"човоргавтомс, ацирьгавтомс, стявтомс кинь-бути кисэ",,,,,,,,,,,,,,,,,,,
ago,adverb,икеле,,,,,,,,,,,,,,,,,,,
agony,noun,"муцямо, сянгоркс",,,,,,,,,,,,,,,,,,,
agree,verb,самс ве мельс,,,,,,,,,,,,,,,,,,,
agreeable,adjective,"мельстуиця, ве мельсэ аштиця",,,,,,,,,,,,,,,,,,,
agreed,adjective,кортазь,,,,,,,,,,,,,,,,,,,
agreement,noun,ве мельс само,,,,,,,,,,,,,,,,,,,
agricultural,adjective,вельхозяйствань,,,,,,,,,,,,,,,,,,,
agriculture,noun,вельхозяйства,,,,,,,,,,,,,,,,,,,
ahead,adverb,икелепеле ,икелепелев,,,,,,,,,,,,,,,,,,
aid,noun,лезкс,,,,,,,,,,,,,,,,,,,
aid,verb,лездамс,,,,,,,,,,,,,,,,,,,
aide,noun,лездыця,,,,,,,,,,,,,,,,,,,
ailment,noun,"сэредема, ормат-тарвот",,,,,,,,,,,,,,,,,,,
aim,noun,"норовамо, цель",,,,,,,,,,,,,,,,,,,
aim,verb,"норовамс, целямс ",(intend) норовамс; арсемс,,,,,,,,,,,,,,,,,,
air,noun,кошт,,,,,,,,,,,,,,,,,,,
air force,noun,аэрофлот,,,,,,,,,,,,,,,,,,,
air raid,noun,менельстэ каявома,,,,,,,,,,,,,,,,,,,
aircraft,noun,"менельвенч, ёроплант-мезть",,,,,,,,,,,,,,,,,,,
airline,noun,авиация,,,,,,,,,,,,,,,,,,,
airmail,noun,авиапочта,,,,,,,,,,,,,,,,,,,
airplane,noun,"ёроплан, самолёт",,,,,,,,,,,,,,,,,,,
airport,noun,"аэродром, менельвенчень валгома тарка",,,,,,,,,,,,,,,,,,,
aisle,noun,"ютамотарка, проход",,,,,,,,,,,,,,,,,,,
alarm,noun,"канализация, шалт",,,,,,,,,,,,,,,,,,,
alarm clock,noun,"будильник, ??пувтамо част",,,,,,,,,,,,,,,,,,,
alarming,adjective,талновтыця,,,,,,,,,,,,,,,,,,,
album,noun,(folder) альбом,,,,,,,,,,,,,,,,,,,
alcohol,noun,алкоголь,,,,,,,,,,,,,,,,,,,
alcoholic,noun,"симила, сими ломань",,,,,,,,,,,,,,,,,,,
alcoholism,noun,алкоголизма,,,,,,,,,,,,,,,,,,,
alert,adjective,пштистэ ваныця,,,,,,,,,,,,,,,,,,,
alert,noun,(military) каявомадо аноксто аштема,,,,,,,,,,,,,,,,,,,
alert,verb,максомс сигнал (берянь тевде),,,,,,,,,,,,,,,,,,,
alias,noun,"кекшема лем, псевдоним",,,,,,,,,,,,,,,,,,,
alibi,noun,(авиде) тувал,,,,,,,,,,,,,,,,,,,
alienate,verb,явовтомс (оймесэ лиятнень эйстэ),,,,,,,,,,,,,,,,,,,
alienation,noun,явовтома,,,,,,,,,,,,,,,,,,,
alight,verb,"валгомс, озамс (нармонде)",,,,,,,,,,,,,,,,,,,
align,verb,витемс ,прамс ве мельс (лия марто),,,,,,,,,,,,,,,,,,
alike,adjective,вейкеть,,,,,,,,,,,,,,,,,,,
alimony,noun,"алиментт, трямо-кастома лезкс",,,,,,,,,,,,,,,,,,,
alive,adjective,эриця,,,,,,,,,,,,,,,,,,,
all,adjective,весе,,,,,,,,,,,,,,,,,,,
allegation,noun,(фактонь апак невте) чумондома,,,,,,,,,,,,,,,,,,,
allegedly,adverb,келя,,,,,,,,,,,,,,,,,,,
allegiance,noun,кемемачи,,,,,,,,,,,,,,,,,,,
allergic,adjective,аллергичной,,,,,,,,,,,,,,,,,,,
allergy,noun,аллергия,,,,,,,,,,,,,,,,,,,
alley,noun,"проулка, курыне (кува панить стада)",,,,,,,,,,,,,,,,,,,
alliance,noun,"пурнавкс, блок",,,,,,,,,,,,,,,,,,,
allied,adjective,"вейсэндявозь, вейсэндявкс",,,,,,,,,,,,,,,,,,,
alligator,noun,аллигатор,,,,,,,,,,,,,,,,,,,
allocate,verb,явшемс (ярмак мезекскак),,,,,,,,,,,,,,,,,,,
allocation,noun,(ярмаконь)  явшема,,,,,,,,,,,,,,,,,,,
allot,verb,"явомс, максомс",,,,,,,,,,,,,,,,,,,
allotment,noun,"явома, максома",,,,,,,,,,,,,,,,,,,
allow,verb,"максомс, меремс",,,,,,,,,,,,,,,,,,,
allowance,noun,(permit) мерема,,,,,,,,,,,,,,,,,,,
alloy,noun,металлонь човорявкс,,,,,,,,,,,,,,,,,,,
allure,verb,мельс туемс,,,,,,,,,,,,,,,,,,,
ally,noun,"союзник, ве лувсо аштиця",,,,,,,,,,,,,,,,,,,
almighty,adjective,весемаштыця,,,,,,,,,,,,,,,,,,,
almond,noun,миндаль,,,,,,,,,,,,,,,,,,,
almost,adverb,малав,,,,,,,,,,,,,,,,,,,
along,preposition,марто,,,,,,,,,,,,,,,,,,,
aloud,adverb,марямга,,,,,,,,,,,,,,,,,,,
alphabet,noun,алфавит,,,,,,,,,,,,,,,,,,,
alphabetical,adjective,алфавитэнь коряс,,,,,,,,,,,,,,,,,,,
already,adverb,уш,,,,,,,,,,,,,,,,,,,
also,adverb,"истя жо, -гак/-як/-как/-ак",,,,,,,,,,,,,,,,,,,
altar,noun,"алтарь, престол",,,,,,,,,,,,,,,,,,,
alter,verb,лиякстомтомс,,,,,,,,,,,,,,,,,,,
alteration,noun,"лиякстомтома, лиякстомома",,,,,,,,,,,,,,,,,,,
alternate,adjective,полавтыця,,,,,,,,,,,,,,,,,,,
alternate,verb,полавтневемс,,,,,,,,,,,,,,,,,,,
alternative,noun,альтернатива,,,,,,,,,,,,,,,,,,,
although,conjunction,кадык,,,,,,,,,,,,,,,,,,,
altitude,noun,сэрь,,,,,,,,,,,,,,,,,,,
altogether,adverb,весемезэ,,,,,,,,,,,,,,,,,,,
aluminum,noun,"алюминий, лём, люм",,,,,,,,,,,,,,,,,,,
always,adverb,"свал, пачк, чоп",,,,,,,,,,,,,,,,,,,
am,verb,(-> to be) -ан/-ян,,,,,,,,,,,,,,,,,,,
amateur,noun,любитель,,,,,,,,,,,,,,,,,,,
amaze,verb,дивавтомс,,,,,,,,,,,,,,,,,,,
amazement,noun,"дивавтома, дивазевема",,,,,,,,,,,,,,,,,,,
amazing,adjective,дивавтыця,,,,,,,,,,,,,,,,,,,
ambassador,noun,"кучолкс, посол",,,,,,,,,,,,,,,,,,,
amber,noun,"(stone) ожня, янтарь",,,,,,,,,,,,,,,,,,,
ambition,noun,амбиция,,,,,,,,,,,,,,,,,,,
ambitious,adjective,эрьва мезес бажиця,,,,,,,,,,,,,,,,,,,
ambulance,noun,скорой помощь,,,,,,,,,,,,,,,,,,,
ambush,noun,засада,,,,,,,,,,,,,,,,,,,
ambush,verb,каявомс салава таркасто,,,,,,,,,,,,,,,,,,,
amend,verb,витнемс (закон),,,,,,,,,,,,,,,,,,,
amendment,noun,(закононь) витневкс,,,,,,,,,,,,,,,,,,,
amicable,adjective,вечкевикс,,,,,,,,,,,,,,,,,,,
ammonia,noun,аммониак,,,,,,,,,,,,,,,,,,,
ammunition,noun,"пулят-мезть, ледемапель",,,,,,,,,,,,,,,,,,,
amnesia,noun,"амнезия, превень ёмавтома",,,,,,,,,,,,,,,,,,,
amnesty,noun,амнестия,,,,,,,,,,,,,,,,,,,
among,preposition,ютксо,,,,,,,,,,,,,,,,,,,
amount,noun,ламоксчи,,,,,,,,,,,,,,,,,,,
ample,adjective,"сатышка, покш, байтяк",,,,,,,,,,,,,,,,,,,
amplifier,noun,(стереогайтень) виевгавтомкат,,,,,,,,,,,,,,,,,,,
amplify,verb,"виевгавтомс, покшолгавтомс",,,,,,,,,,,,,,,,,,,
amputate,verb,керямс (рунгосто),,,,,,,,,,,,,,,,,,,
amputation,noun,рунгосто керямо,,,,,,,,,,,,,,,,,,,
amuse,verb,витемс мель,,,,,,,,,,,,,,,,,,,
amusement,noun,мелень витема,,,,,,,,,,,,,,,,,,,
amusing,adjective,мелень витиця,,,,,,,,,,,,,,,,,,,
anaemic,adjective,"анемия, якстере верень асатома",,,,,,,,,,,,,,,,,,,
analysis,noun,анализ,,,,,,,,,,,,,,,,,,,
analyze,verb,теемс анализ,,,,,,,,,,,,,,,,,,,
anarchy,noun,анархия,,,,,,,,,,,,,,,,,,,
anatomy,noun,"рунгонь пелькст, анатомия",,,,,,,,,,,,,,,,,,,
ancestor,noun,покштят-сэрдят,,,,,,,,,,,,,,,,,,,
ancestry,noun,покштят-бабат,,,,,,,,,,,,,,,,,,,
anchor,noun,якорь,,,,,,,,,,,,,,,,,,,
anchovy,noun,анчоус,,,,,,,,,,,,,,,,,,,
ancient,adjective,кезэрень,,,,,,,,,,,,,,,,,,,
and,conjunction,"ды, и",,,,,,,,,,,,,,,,,,,
anesthetic,noun,анастазия,,,,,,,,,,,,,,,,,,,
angel,noun,"армо, ангел",,,,,,,,,,,,,,,,,,,
anger,noun,кеж,,,,,,,,,,,,,,,,,,,
angle,noun,"(corner) ужо, угол",,,,,,,,,,,,,,,,,,,
angle,verb,ульмамс,,,,,,,,,,,,,,,,,,,
angry,adjective,кежей,,,,,,,,,,,,,,,,,,,
animal,noun,ракша,,,,,,,,,,,,,,,,,,,
animate,verb,"эрязкавтомс, бойкалгавтомс",,,,,,,,,,,,,,,,,,,
animated film,noun,мультфильм,,,,,,,,,,,,,,,,,,,
animation,noun,анимация,,,,,,,,,,,,,,,,,,,
animosity,noun,"кежчи, вардоньчи",,,,,,,,,,,,,,,,,,,
ankle,noun,пильгеполда,,,,,,,,,,,,,,,,,,,
annex,noun,(building)  (кудонь) поладовкс,,,,,,,,,,,,,,,,,,,
annihilate,verb,"яжамс-тапамс, калавтомс",,,,,,,,,,,,,,,,,,,
annihilation,noun,"яжамо-тапамо, калавтома",,,,,,,,,,,,,,,,,,,
anniversary,noun,юбилей,,,,,,,,,,,,,,,,,,,
announce,verb,яволявтомс,,,,,,,,,,,,,,,,,,,
announcement,noun,яволявкс,,,,,,,,,,,,,,,,,,,
announcer,noun,диктор,,,,,,,,,,,,,,,,,,,
annoy,verb,апаргавтомс,,,,,,,,,,,,,,,,,,,
annoyance,noun,апаргавтома,,,,,,,,,,,,,,,,,,,
annoying,adjective,апаргавтыця,,,,,,,,,,,,,,,,,,,
annual,adjective,эрьва иень,,,,,,,,,,,,,,,,,,,
annually,adverb,эрьва иестэ,,,,,,,,,,,,,,,,,,,
annul,verb,аннулировамс,,,,,,,,,,,,,,,,,,,
annulment,noun,аннулировамо,,,,,,,,,,,,,,,,,,,
anonymous,adjective,апак содань,,,,,,,,,,,,,,,,,,,
another,adjective,"лия, таго вейке",,,,,,,,,,,,,,,,,,,
answer,noun,каршовал,,,,,,,,,,,,,,,,,,,
answer,verb,максомс каршовал,,,,,,,,,,,,,,,,,,,
answerable,adjective,каршовал максозь,,,,,,,,,,,,,,,,,,,
ant,noun,коткудав,,,,,,,,,,,,,,,,,,,
antagonism,noun,вейкень-омбоцень порема,,,,,,,,,,,,,,,,,,,
antagonize,verb,савтомс кеж,,,,,,,,,,,,,,,,,,,
antelope,noun,антилопа,,,,,,,,,,,,,,,,,,,
antenna,noun,антенна,,,,,,,,,,,,,,,,,,,
anthem,noun,"гимна, инелмаморо",,,,,,,,,,,,,,,,,,,
anthill,noun,коткудав пизэ,,,,,,,,,,,,,,,,,,,
antibiotic,noun,антибиотик,,,,,,,,,,,,,,,,,,,
anticipate,verb,учомс,,,,,,,,,,,,,,,,,,,
anticipation,noun,учома,,,,,,,,,,,,,,,,,,,
antidote,noun,яд каршо пель,,,,,,,,,,,,,,,,,,,
antifreeze,noun,антифриз,,,,,,,,,,,,,,,,,,,
antique,adjective,кезэрень,,,,,,,,,,,,,,,,,,,
