Word,Definition,Category,ExampleW,ExampleD,ExampleW,ExampleD,ExampleW,ExampleD,QuoteW,QuoteD,QuoteS,QuoteW,QuoteD,QuoteS
abuse,1. аволь видестэ нолдамс тевс 2. сёвномс 3. нарьгамс,,,,,,,,,,,,,
abusive,1. (language) пек амазы (кель) 2. нарьгиця,,,,,,,,,,,,,
academic,академиянь; академиясо,,,,,,,,,,,,,
academy,академия,,,,,,,,,,,,,
accelerate,1. эрязкадомс 2. эрязкавтомс,,,,,,,,,,,,,
acceleration,1. эрязкадома 2. эрязкавтома,,,,,,,,,,,,,
accelerator,педал,,,,,,,,,,,,,
accent,1. (language) ломань кортавкс 2. (word валонь) вачкодькс,,,,,,,,,,,,,
accept,1. ловомс ёнкс 2. саемс эсь юткс,,,,,,,,,,,,,
acceptable,сатышка вадря; ёнкс лововикс,,,,,,,,,,,,,
acceptance,1. эсь юткс саема 2. ёнкс ловома,,,,,,,,,,,,,
access,доступ,,,,,,,,,,,,,
accessible,доступной,,,,,,,,,,,,,
accessories,1. кедьёнксонь запчасть 2. оршамопелень запчасть,,,,,,,,,,,,,
accessory,преступникнень лездыця,,,,,,,,,,,,,
accident,1. зыян; авария 2. апак учонь тев,,,,,,,,,,,,,
accidental,апак учонь,,,,,,,,,,,,,
accidentally,апак учо,,,,,,,,,,,,,
accommodate,1. максомс тарка 2. максомс эрямс тарка,,,,,,,,,,,,,
accommodation,(акуватень) эрямо тарка,,,,,,,,,,,,,
accompaniment,аккомпанимент,,,,,,,,,,,,,
accompany,1. ильтемс 2. седямс аккомпанемент 3. ве шкастонть эрсемс,,,,,,,,,,,,,
accomplish,??изнямс ??топавтомс,,,,,,,,,,,,,
accomplishment,??изнявкс,,,,,,,,,,,,,
according  to,коряс,,,,,,,,,,,,,
accordingly,??тень коряс,,,,,,,,,,,,,
accordion,гармония,,,,,,,,,,,,,
account,(bank) счёт,,,,,,,,,,,,,
accountable,ответственной,,,,,,,,,,,,,
accountant,бухгальтер,,,,,,,,,,,,,
accrue,кастомс (процент),,,,,,,,,,,,,
accumulate,1. пурнавомс 2. пурнамс,,,,,,,,,,,,,
accumulation,1. пурнавома 2. пурнамо,,,,,,,,,,,,,
accuracy,1. (ёртомань) норовчи 2. (ёвтамонь) точначи,,,,,,,,,,,,,
accurate,норов; точна,,,,,,,,,,,,,
accusation,чумондома,,,,,,,,,,,,,
accusative,(grammar) аккузатив,,,,,,,,,,,,,
accuse,чумондомс,,,,,,,,,,,,,
accused,чумондозь ломань,,,,,,,,,,,,,
ace,(card) туз,,,,,,,,,,,,,
ache,сэредькс,,,,,,,,,,,,,
ache,теемс сэредькс,,,,,,,,,,,,,
achieve,изнямс,,,,,,,,,,,,,
achievement,изнявкс,,,,,,,,,,,,,
acid,кислотань,,,,,,,,,,,,,
acid,кислота,,,,,,,,,,,,,
acknowledge,видькстамс; пачтямс мезде-бути содамга; шнамосо ёвтамс (паро тевде),,,,,,,,,,,,,
acknowledgement,сюкпрянь ёвтамо,,,,,,,,,,,,,
acne,суксприямо,,,,,,,,,,,,,
acorn,сэря,,,,,,,,,,,,,
acquaint,теемс содавиксэкс,,,,,,,,,,,,,
acquaintance,(know) содавикс ломань,,,,,,,,,,,,,
acquire,пурнамс эстензэ (рамамс; саемс); тонадомс танстьс,,,,,,,,,,,,,
acquisition,пурнамо; рамавкс,,,,,,,,,,,,,
acquit,а чумондомс,,,,,,,,,,,,,
acquittal,ачумондома,,,,,,,,,,,,,
acrobat,акробат,,,,,,,,,,,,,
acrobatics,акробатика,,,,,,,,,,,,,
across,1. трокс 2. каршо,,,,,,,,,,,,,
act,1. (action) тевтеема 2. (play) акт; лисема,,,,,,,,,,,,,
action,тевтеема; действия,,,,,,,,,,,,,
active,эрьва козонь кенериця,,,,,,,,,,,,,
activist,активист,,,,,,,,,,,,,
activity,тевтеема,,,,,,,,,,,,,
actor,(сцена лангсо) (цёра) налксиця,,,,,,,,,,,,,
actress,(сцена лангсо) (ава) налксиця,,,,,,,,,,,,,
actual,алкуксонь,,,,,,,,,,,,,
actually,алкукскак,,,,,,,,,,,,,
acupuncture,акупунктура,,,,,,,,,,,,,
acute,1. пшти (hearing пилемарямо) 2. виев (illness сэредема) 3. покш (problems проблемат),,,,,,,,,,,,,
adamant,(валдонзо) апотыця,,,,,,,,,,,,,
adapt,ладямс; витнемс (од тевс),,,,,,,,,,,,,
adaptable,ладявикс,,,,,,,,,,,,,
adapter,адаптор,,,,,,,,,,,,,
add,путомс вейс; поладомс,,,,,,,,,,,,,
addict,наркоман,,,,,,,,,,,,,
addiction,наркомания,,,,,,,,,,,,,
addition,(math) вейспутома,,,,,,,,,,,,,
additional,поладовиця; поладкс,,,,,,,,,,,,,
additive,добавка,,,,,,,,,,,,,
address,1. (place) адрес 2. (speech) (ломань икеле) кортамо,,,,,,,,,,,,,
address,1. (people) кортамс; пшкадемс (киненьгак) 2. (place) путомс адрес (сёрма лангс),,,,,,,,,,,,,
adequate,сатышка,,,,,,,,,,,,,
adhere,1. (tape) педявомс (to something мезескак) 2. (doctrine) саемс мельс (to ),,,,,,,,,,,,,
adherence,мельс саема,,,,,,,,,,,,,
adhesive,педиця,,,,,,,,,,,,,
adjacent,каршо,,,,,,,,,,,,,
adjective,лемтюс; прилогательной,,,,,,,,,,,,,
adjourn,1. шаштомс (шкань коряс); прядомс (промкс) 2. молемс (лия таркав),,,,,,,,,,,,,
adjust,ладямс; витемс,,,,,,,,,,,,,
adjustable,ладявикс,,,,,,,,,,,,,
adjustment,ладямо,,,,,,,,,,,,,
administer,1. ветямс (тевсэ) 2. (inoculation) путомс (укол),,,,,,,,,,,,,
administration,правительства; прявткуро,,,,,,,,,,,,,
administrator,администратор,,,,,,,,,,,,,
admirable,мельспаро кандыця,,,,,,,,,,,,,
admiral,адмирал,,,,,,,,,,,,,
admiration,мельспаросо ванома,,,,,,,,,,,,,
admire,мельспаросо ваномс (кие лангскак),,,,,,,,,,,,,
admissible,нолдавикс,,,,,,,,,,,,,
admission,1. (confession) видькстамо 2. (entrance) совамо питне,,,,,,,,,,,,,
admit,1. (allow) нолдамс (потс); совавтомс 2. (confess) видькстамс,,,,,,,,,,,,,
admittance,(entry) потснолдамо; совавтома,,,,,,,,,,,,,
adolescence,одкспинге,,,,,,,,,,,,,
adolescent,од ломань,,,,,,,,,,,,,
adopt,эстензэ саемс; эстензэкс саемс,,,,,,,,,,,,,
adopted,саень (эйкакш),,,,,,,,,,,,,
adoption,эйкакшонь саема,,,,,,,,,,,,,
adorable,седеень саиця; седейэждиця,,,,,,,,,,,,,
adore,вечкемс,,,,,,,,,,,,,
adorn,мазылгавтомс,,,,,,,,,,,,,
adrift,ведь мельга; варма мельга,,,,,,,,,,,,,
adult,покш,,,,,,,,,,,,,
adult,покш (ломань; ракша; аволь левкс),,,,,,,,,,,,,
adultry,уксурямо,,,,,,,,,,,,,
advance,1. касомс (профессиясо) 2. кастомс 3. шаштомс икелев (частнэнь икелев); питневгадомс,,,,,,,,,,,,,
advanced,икелевмолиця; касыця,,,,,,,,,,,,,
advancement,чинс аравтома,,,,,,,,,,,,,
advantage,лезэ,,,,,,,,,,,,,
advantageous,лезэв,,,,,,,,,,,,,
adventure,авантюра,,,,,,,,,,,,,
adventurer,авантюрист,,,,,,,,,,,,,
adverb,наречия,,,,,,,,,,,,,
adversary,каршомолиця (эстеть); пельксты ялга,,,,,,,,,,,,,
adverse,аволь лезэв,,,,,,,,,,,,,
advertise,теемс реклама,,,,,,,,,,,,,
advertisement,реклама,,,,,,,,,,,,,
advertising,рекламань теема,,,,,,,,,,,,,
advice,превть,,,,,,,,,,,,,
advisable,??,,,,,,,,,,,,,
advise,максомс превть; путомс превс,,,,,,,,,,,,,
adviser,превень максы,,,,,,,,,,,,,
advocate,аштемс мезеньгак кисэ,,,,,,,,,,,,,
aerial,вердень,,,,,,,,,,,,,
aeroplane,самолёт,,,,,,,,,,,,,
affair,(business) тевть; эсь тевть,,,,,,,,,,,,,
affect,??вииямс; токамс,,,,,,,,,,,,,
affected,токавозь,,,,,,,,,,,,,
affection,вечкема,,,,,,,,,,,,,
affectionate,вечкевикс; чевтеседей,,,,,,,,,,,,,
affidavit,видечинь кемекстамо (конёв),,,,,,,,,,,,,
affinity,мелень путома,,,,,,,,,,,,,
affirm,кемекстамс,,,,,,,,,,,,,
affirmative,парс пачтиця,,,,,,,,,,,,,
affix,педявтомс,,,,,,,,,,,,,
afflict,майсевтемс,,,,,,,,,,,,,
affliction,майсема,,,,,,,,,,,,,
affluence,эриксчи,,,,,,,,,,,,,
affluent,эрикс; уличив,,,,,,,,,,,,,
after,мельга; кисэ,,,,,,,,,,,,,
after,мейле,,,,,,,,,,,,,
afternoon,обедтэ мейле,,,,,,,,,,,,,
afterwards,седе мейле; мейле,,,,,,,,,,,,,
again,таго; одов,,,,,,,,,,,,,
against,каршо,,,,,,,,,,,,,
age,1. шка (эйде) 2. иеть (ломань) 3. пинге (эпоха),,,,,,,,,,,,,
age,1. сыредемс (ломанде) 2. аштемс (винадо),,,,,,,,,,,,,
agency,агенства,,,,,,,,,,,,,
agenda,чинь молемадо сёрмадкс,,,,,,,,,,,,,
agent,агент,,,,,,,,,,,,,
aggravate,азаргавтомс,,,,,,,,,,,,,
aggravating,азаргавтыця,,,,,,,,,,,,,
aggravation,азаргавтома,,,,,,,,,,,,,
aggression,агрессия; каявома,,,,,,,,,,,,,
aggressive,каявиця; агрессивной,,,,,,,,,,,,,
aggressor,каявиця; агрессор,,,,,,,,,,,,,
agitate,човоргавтомс; ацирьгавтомс; стявтомс кинь-бути кисэ,,,,,,,,,,,,,
ago,икеле,,,,,,,,,,,,,
agony,муцямо; сянгоркс,,,,,,,,,,,,,
agree,самс ве мельс,,,,,,,,,,,,,
agreeable,мельстуиця; ве мельсэ аштиця,,,,,,,,,,,,,
agreed,кортазь,,,,,,,,,,,,,
agreement,ве мельс само,,,,,,,,,,,,,
agricultural,вельхозяйствань,,,,,,,,,,,,,
agriculture,вельхозяйства,,,,,,,,,,,,,
ahead,1. икелепеле 2. икелепелев,,,,,,,,,,,,,
aid,лезкс,,,,,,,,,,,,,
aid,лездамс,,,,,,,,,,,,,
aide,лездыця,,,,,,,,,,,,,
ailment,сэредема; ормат-тарвот,,,,,,,,,,,,,
aim,норовамо; цель,,,,,,,,,,,,,
aim,1. норовамс; целямс 2. (intend) норовамс; арсемс,,,,,,,,,,,,,
air,кошт,,,,,,,,,,,,,
air force,аэрофлот,,,,,,,,,,,,,
air raid,менельстэ каявома,,,,,,,,,,,,,
aircraft,менельвенч; ёроплант-мезть,,,,,,,,,,,,,
airline,авиация,,,,,,,,,,,,,
airmail,авиапочта,,,,,,,,,,,,,
airplane,ёроплан; самолёт,,,,,,,,,,,,,
airport,аэродром; менельвенчень валгома тарка,,,,,,,,,,,,,
aisle,ютамотарка; проход,,,,,,,,,,,,,
alarm,канализация; шалт,,,,,,,,,,,,,
alarm clock,будильник; ??пувтамо част,,,,,,,,,,,,,
alarming,талновтыця,,,,,,,,,,,,,
album,(folder) альбом,,,,,,,,,,,,,
alcohol,алкоголь,,,,,,,,,,,,,
alcoholic,симила; сими ломань,,,,,,,,,,,,,
alcoholism,алкоголизма,,,,,,,,,,,,,
alert,пштистэ ваныця,,,,,,,,,,,,,
alert,(military) каявомадо аноксто аштема,,,,,,,,,,,,,
alert,максомс сигнал (берянь тевде),,,,,,,,,,,,,
alias,кекшема лем; псевдоним,,,,,,,,,,,,,
alibi,(авиде) тувал,,,,,,,,,,,,,
alienate,явовтомс (оймесэ лиятнень эйстэ),,,,,,,,,,,,,
alienation,явовтома,,,,,,,,,,,,,
alight,валгомс; озамс (нармонде),,,,,,,,,,,,,
align,1. витемс 2. прамс ве мельс (лия марто),,,,,,,,,,,,,
alike,вейкеть,,,,,,,,,,,,,
alimony,алиментт; трямо-кастома лезкс,,,,,,,,,,,,,
alive,эриця,,,,,,,,,,,,,
all,весе,,,,,,,,,,,,,
allegation,(фактонь апак невте) чумондома,,,,,,,,,,,,,
allegedly,келя,,,,,,,,,,,,,
allegiance,кемемачи,,,,,,,,,,,,,
allergic,аллергичной,,,,,,,,,,,,,
allergy,аллергия,,,,,,,,,,,,,
alley,проулка; курыне (кува панить стада),,,,,,,,,,,,,
alliance,пурнавкс; блок,,,,,,,,,,,,,
allied,вейсэндявозь; вейсэндявкс,,,,,,,,,,,,,
alligator,аллигатор,,,,,,,,,,,,,
allocate,явшемс (ярмак мезекскак),,,,,,,,,,,,,
allocation,(ярмаконь)  явшема,,,,,,,,,,,,,
allot,явомс; максомс,,,,,,,,,,,,,
allotment,явома; максома,,,,,,,,,,,,,
allow,максомс; меремс,,,,,,,,,,,,,
allowance,(permit) мерема,,,,,,,,,,,,,
alloy,металлонь човорявкс,,,,,,,,,,,,,
allure,мельс туемс,,,,,,,,,,,,,
ally,союзник; ве лувсо аштиця,,,,,,,,,,,,,
almighty,весемаштыця,,,,,,,,,,,,,
almond,миндаль,,,,,,,,,,,,,
almost,малав,,,,,,,,,,,,,
along,марто,,,,,,,,,,,,,
aloud,марямга,,,,,,,,,,,,,
alphabet,алфавит,,,,,,,,,,,,,
alphabetical,алфавитэнь коряс,,,,,,,,,,,,,
already,уш,,,,,,,,,,,,,
also,истя жо; -гак/-як/-как/-ак,,,,,,,,,,,,,
altar,алтарь; престол,,,,,,,,,,,,,
alter,лиякстомтомс,,,,,,,,,,,,,
alteration,лиякстомтома; лиякстомома,,,,,,,,,,,,,
alternate,полавтыця,,,,,,,,,,,,,
alternate,полавтневемс,,,,,,,,,,,,,
alternative,альтернатива,,,,,,,,,,,,,
although,кадык,,,,,,,,,,,,,
altitude,сэрь,,,,,,,,,,,,,
altogether,весемезэ,,,,,,,,,,,,,
aluminum,алюминий; лём; люм,,,,,,,,,,,,,
always,свал; пачк; чоп,,,,,,,,,,,,,
am,(-> to be) -ан/-ян,,,,,,,,,,,,,
amateur,любитель,,,,,,,,,,,,,
amaze,дивавтомс,,,,,,,,,,,,,
amazement,дивавтома; дивазевема,,,,,,,,,,,,,
amazing,дивавтыця,,,,,,,,,,,,,
ambassador,кучолкс; посол,,,,,,,,,,,,,
amber,(stone) ожня; янтарь,,,,,,,,,,,,,
ambition,амбиция,,,,,,,,,,,,,
ambitious,эрьва мезес бажиця,,,,,,,,,,,,,
ambulance,скорой помощь,,,,,,,,,,,,,
ambush,засада,,,,,,,,,,,,,
ambush,каявомс салава таркасто,,,,,,,,,,,,,
amend,витнемс (закон),,,,,,,,,,,,,
amendment,(закононь) витневкс,,,,,,,,,,,,,
amicable,вечкевикс,,,,,,,,,,,,,
ammonia,аммониак,,,,,,,,,,,,,
ammunition,пулят-мезть; ледемапель,,,,,,,,,,,,,
amnesia,амнезия; превень ёмавтома,,,,,,,,,,,,,
amnesty,амнестия,,,,,,,,,,,,,
among,ютксо,,,,,,,,,,,,,
amount,ламоксчи,,,,,,,,,,,,,
ample,сатышка; покш; байтяк,,,,,,,,,,,,,
amplifier,(стереогайтень) виевгавтомкат,,,,,,,,,,,,,
amplify,виевгавтомс; покшолгавтомс,,,,,,,,,,,,,
amputate,керямс (рунгосто),,,,,,,,,,,,,
amputation,рунгосто керямо,,,,,,,,,,,,,
amuse,витемс мель,,,,,,,,,,,,,
amusement,мелень витема,,,,,,,,,,,,,
amusing,мелень витиця,,,,,,,,,,,,,
anaemic,анемия; якстере верень асатома,,,,,,,,,,,,,
analysis,анализ,,,,,,,,,,,,,
analyze,теемс анализ,,,,,,,,,,,,,
anarchy,анархия,,,,,,,,,,,,,
anatomy,рунгонь пелькст; анатомия,,,,,,,,,,,,,
ancestor,покштят-сэрдят,,,,,,,,,,,,,
ancestry,покштят-бабат,,,,,,,,,,,,,
anchor,якорь,,,,,,,,,,,,,
anchovy,анчоус,,,,,,,,,,,,,
ancient,кезэрень,,,,,,,,,,,,,
and,ды; и,,,,,,,,,,,,,
anesthetic,анастазия,,,,,,,,,,,,,
angel,армо; ангел,,,,,,,,,,,,,
anger,кеж,,,,,,,,,,,,,
angle,(corner) ужо; угол,,,,,,,,,,,,,
angle,ульмамс,,,,,,,,,,,,,
angry,кежей,,,,,,,,,,,,,
animal,ракша,,,,,,,,,,,,,
animate,эрязкавтомс; бойкалгавтомс,,,,,,,,,,,,,
animated film,мультфильм,,,,,,,,,,,,,
animation,анимация,,,,,,,,,,,,,
animosity,кежчи; вардоньчи,,,,,,,,,,,,,
ankle,пильгеполда,,,,,,,,,,,,,
annex,(building)  (кудонь) поладовкс,,,,,,,,,,,,,
annihilate,яжамс-тапамс; калавтомс,,,,,,,,,,,,,
annihilation,яжамо-тапамо; калавтома,,,,,,,,,,,,,
anniversary,юбилей,,,,,,,,,,,,,
announce,яволявтомс,,,,,,,,,,,,,
announcement,яволявкс,,,,,,,,,,,,,
announcer,диктор,,,,,,,,,,,,,
annoy,апаргавтомс,,,,,,,,,,,,,
annoyance,апаргавтома,,,,,,,,,,,,,
annoying,апаргавтыця,,,,,,,,,,,,,
annual,эрьва иень,,,,,,,,,,,,,
annually,эрьва иестэ,,,,,,,,,,,,,
annul,аннулировамс,,,,,,,,,,,,,
annulment,аннулировамо,,,,,,,,,,,,,
anonymous,апак содань,,,,,,,,,,,,,
another,лия; таго вейке,,,,,,,,,,,,,
answer,каршовал,,,,,,,,,,,,,
answer,максомс каршовал,,,,,,,,,,,,,
answerable,каршовал максозь,,,,,,,,,,,,,
ant,коткудав,,,,,,,,,,,,,
antagonism,вейкень-омбоцень порема,,,,,,,,,,,,,
antagonize,савтомс кеж,,,,,,,,,,,,,
antelope,антилопа,,,,,,,,,,,,,
antenna,антенна,,,,,,,,,,,,,
anthem,гимна; инелмаморо,,,,,,,,,,,,,
anthill,коткудав пизэ,,,,,,,,,,,,,
antibiotic,антибиотик,,,,,,,,,,,,,
anticipate,учомс,,,,,,,,,,,,,
anticipation,учома,,,,,,,,,,,,,
antidote,яд каршо пель,,,,,,,,,,,,,
antifreeze,антифриз,,,,,,,,,,,,,
antique,кезэрень,,,,,,,,,,,,,
antiquity,кезэрь; кезэрень шка,,,,,,,,,,,,,
antiseptic,антисептик,,,,,,,,,,,,,
antlers,сюрот (каявить эрьва иестэ),,,,,,,,,,,,,
anus,мукорваря,,,,,,,,,,,,,
anvil,наковальня,,,,,,,,,,,,,
anxiety,талнома,,,,,,,,,,,,,
anxious,талныця,,,,,,,,,,,,,
any,вейкеяк; кияк; мезеяк,,,,,,,,,,,,,
anybody,кияк; кие мелеть,,,,,,,,,,,,,
anyhow,кодаяк; кода мелеть,,,,,,,,,,,,,
anyone,кияк,,,,,,,,,,,,,
anything,мезеяк; мезе понгсь,,,,,,,,,,,,,
anytime,зярдояк; зярдо понгсь,,,,,,,,,,,,,
anyway,кодаяк; кода понгсь,,,,,,,,,,,,,
anywhere,косояк; косо понгсь,,,,,,,,,,,,,
apart,явозь,,,,,,,,,,,,,
apart,башка; явозь,,,,,,,,,,,,,
apartment,фатера; квартера,,,,,,,,,,,,,
ape,обезьган,,,,,,,,,,,,,
aperitif,аперитив,,,,,,,,,,,,,
apex,тёкш,,,,,,,,,,,,,
apologetic,чумонь нолдамодо вешиця,,,,,,,,,,,,,
apologize,вешемс чумонь нолдамодо,,,,,,,,,,,,,
apology,чумонь нолдамодо вешема,,,,,,,,,,,,,
apostle,апостол,,,,,,,,,,,,,
apostrophe,апостроф,,,,,,,,,,,,,
appal,пек талакавтомс,,,,,,,,,,,,,
appalling,пек талакавтыця,,,,,,,,,,,,,
apparatus,аппарат,,,,,,,,,,,,,
apparent,неявикс; апак сёпонь,,,,,,,,,,,,,
apparently,неяви; апак сёпо,,,,,,,,,,,,,
appeal,(law) од судонь вешема,,,,,,,,,,,,,
appeal,(law) вешемс од суд,,,,,,,,,,,,,
appealing,седейстокиця,,,,,,,,,,,,,
appear,неявомс,,,,,,,,,,,,,
appearance,(ломань юткс) лисема; неявома,,,,,,,,,,,,,
appease,оймавтомс; энгамтомс,,,,,,,,,,,,,
appendix,(book) (книгас) путовкс; поладкс,,,,,,,,,,,,,
appetite,ярсамопель,,,,,,,,,,,,,
applaud,цяпамс,,,,,,,,,,,,,
applause,цяпамо,,,,,,,,,,,,,
apple,(умаринань) умарь,,,,,,,,,,,,,
appliance,аппарат,,,,,,,,,,,,,
applicable,(кодамояк) тевс кандовикс,,,,,,,,,,,,,
applicant,прянь вешиця,,,,,,,,,,,,,
application,прянь вешема (to козоньгак),,,,,,,,,,,,,
apply,1. вешемс пря (to козоньгак) 2. вешемс; анамс (for мезеяк),,,,,,,,,,,,,
appoint,аравтомс,,,,,,,,,,,,,
appointment,аравтома,,,,,,,,,,,,,
appraisal,питнейчинь путома,,,,,,,,,,,,,
appraise,путомс питне,,,,,,,,,,,,,
appreciate,чарькодемс; максомс питне,,,,,,,,,,,,,
appreciation,питнень максома,,,,,,,,,,,,,
apprehend,кундамс; чарькодемс; пелемс,,,,,,,,,,,,,
apprehension,пелема; мелявтома; кундамо; чарькодема,,,,,,,,,,,,,
apprehensive,эзем-тарка амуиця,,,,,,,,,,,,,
apprentice,практикант; стажор,,,,,,,,,,,,,
apprenticeship,практикантксчи; стажорксчи,,,,,,,,,,,,,
approach,малав само; малавгадома,,,,,,,,,,,,,
approach,малавгадомс,,,,,,,,,,,,,
approachable,доступной,,,,,,,,,,,,,
appropriate,ладиця,,,,,,,,,,,,,
approval,ёнкс ловома,,,,,,,,,,,,,
approve,ёнкс ловомс,,,,,,,,,,,,,
approximate,малава,,,,,,,,,,,,,
approximately,малава,,,,,,,,,,,,,
apricot,абрикос,,,,,,,,,,,,,
apron,икельгапаця,,,,,,,,,,,,,
aptitude,ёрокчи; талан,,,,,,,,,,,,,
aquarium,аквариум,,,,,,,,,,,,,
aqueduct,ведьмолема??,,,,,,,,,,,,,
arbitrary,кода понгсь,,,,,,,,,,,,,
arbitrate,ладямс пелькстамо,,,,,,,,,,,,,
arbitration,пелькстамонь ладямо,,,,,,,,,,,,,
arbitrator,посредник; пелькстамонь ладиця,,,,,,,,,,,,,
arc,чирьке,,,,,,,,,,,,,
arch,свод,,,,,,,,,,,,,
archaelogist,археолог,,,,,,,,,,,,,
archaeology,археология; кезэрде наука,,,,,,,,,,,,,
archaic,тюштянь пингень,,,,,,,,,,,,,
archer,налсо ледиця,,,,,,,,,,,,,
archery,налсо ледема,,,,,,,,,,,,,
archipelago,усият; усияпусмо,,,,,,,,,,,,,
architect,архитект,,,,,,,,,,,,,
architecture,архитектура,,,,,,,,,,,,,
archives,архив,,,,,,,,,,,,,
archway,свод марто ютамо тарка,,,,,,,,,,,,,
area,1. келеть-кувалмот 2. кирькс; пакся,,,,,,,,,,,,,
arena,арена,,,,,,,,,,,,,
argue,пелькстамс,,,,,,,,,,,,,
argument,пелькстамо,,,,,,,,,,,,,
argumentative,пелькстамосо валмуевкс,,,,,,,,,,,,,
arid,коське,,,,,,,,,,,,,
arise,вельмемс,,,,,,,,,,,,,
arithmetic,арифметика,,,,,,,,,,,,,
arm,кедь (лавтовсто кедькиргас),,,,,,,,,,,,,
arm,максомс леднемапель,,,,,,,,,,,,,
armament,леднемапелень ёрамо; леднемапельть,,,,,,,,,,,,,
armchair,кресла,,,,,,,,,,,,,
armed,ружия марто; леднемапель марто,,,,,,,,,,,,,
armful,берёма,,,,,,,,,,,,,
armistice,тюремеде лоткамо (зярыя шкас),,,,,,,,,,,,,
armor,панцирь,,,,,,,,,,,,,
armory,леднемапелень ванстома тарка,,,,,,,,,,,,,
armpit,кавалалкс,,,,,,,,,,,,,
arms,леднемапелть,,,,,,,,,,,,,
army,ушмо; армея,,,,,,,,,,,,,
aroma,чине (вадря),,,,,,,,,,,,,
around,перька; маласо,,,,,,,,,,,,,
around,тия-тува,,,,,,,,,,,,,
arouse,кирвазтемс; сыргозтемс,,,,,,,,,,,,,
arrange,аравтомс лувс-ладс; ладсемс,,,,,,,,,,,,,
arrangement,лувс-ладс аравтома; ладсема,,,,,,,,,,,,,
array,аравтома; оршамопель; покш група,,,,,,,,,,,,,
arrears,апак пандо пелькс (ярмак),,,,,,,,,,,,,
arrest,пекстамс,,,,,,,,,,,,,
arrest,кундамс (милиция),,,,,,,,,,,,,
arrival,пачкодема; само,,,,,,,,,,,,,
arrive,пачкодемс; самс,,,,,,,,,,,,,
arrogance,нерень кепедема,,,,,,,,,,,,,
arrogant,нерень кепеди,,,,,,,,,,,,,
arrow,нал,,,,,,,,,,,,,
arsenal,леднемапелень ванстома тарка,,,,,,,,,,,,,
arson,якстереатякшонь нолднема,,,,,,,,,,,,,
art,художества,,,,,,,,,,,,,
artery,седейсан,,,,,,,,,,,,,
arthritis,эзнень таргозькс,,,,,,,,,,,,,
article,(газетасо) статья;  (грамматикань) артикла,,,,,,,,,,,,,
articulate,чарькодевиксстэ ёвтамс,,,,,,,,,,,,,
artificial,искусственной,,,,,,,,,,,,,
artillery,артилерия,,,,,,,,,,,,,
artist,художник,,,,,,,,,,,,,
artistic,художественной,,,,,,,,,,,,,
as,-кс; кода; прок,,,,,,,,,,,,,
